Name,Population
"Corpus Christi city, Texas",322726
"New York city, New York",8560072
"Toledo city, Ohio",279455
"Cleveland city, Ohio",388812
"Nashville-Davidson metropolitan government (balance), Tennessee",654187
"Houston city, Texas",2267336
"Louisville/Jefferson County metro government (balance), Kentucky",615478
"Detroit city, Michigan",679865
"Las Vegas city, Nevada",621662
"Anchorage municipality, Alaska",298225
"Phoenix city, Arizona",1574421
"San Diego city, California",1390966
"Los Angeles city, California",3949776
"Miami city, Florida",443007
"Atlanta city, Georgia",465230
"Chicago city, Illinois",2722586
"Fort Wayne city, Indiana",262450
